tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.0790215,-81.5171625,12/15/2015 16:39,9.750068937,270532113,primary
1121515,41.079098,-81.517108,12/15/2015 16:39,9.610272555,270532113,primary
1121515,41.079173,-81.517052,12/15/2015 16:39,9.565091801,270532113,primary
1121515,41.0792495,-81.517,12/15/2015 16:39,9.537634208,270532113,primary
1121515,41.0793255,-81.516948,12/15/2015 16:39,9.445442252,270532113,primary
1121515,41.0793995,-81.516895,12/15/2015 16:39,9.353900581,270532113,primary
1121515,41.0794715,-81.516839,12/15/2015 16:39,9.286281081,270532113,primary
1121515,41.0795435,-81.516784,12/15/2015 16:39,9.279409593,270532113,primary
1121515,41.079616,-81.5167285,12/15/2015 16:39,9.449657746,270532113,primary
1121515,41.079691,-81.516673,12/15/2015 16:39,9.602616882,270532113,primary
1121515,41.0797665,-81.516617,12/15/2015 16:39,9.680789568,270532113,primary
1121515,41.079843,-81.516561,12/15/2015 16:39,9.741226135,270532113,primary
1121515,41.0799195,-81.5165045,12/15/2015 16:39,9.791410348,270532113,primary
1121515,41.0799965,-81.5164465,12/15/2015 16:39,9.903062433,270532113,primary
1121515,41.080075,-81.516389,12/15/2015 16:39,10.01703742,270532113,primary
1121515,41.0801545,-81.5163315,12/15/2015 16:39,10.16042086,270532113,primary
1121515,41.080237,-81.516277,12/15/2015 16:39,10.10456994,270532113,primary
1121515,41.0803145,-81.5162175,12/15/2015 16:39,10.1653579,270532113,primary
1121515,41.0804,-81.5161685,12/15/2015 16:39,10.42321222,270532113,primary
1121515,41.0804875,-81.516123,12/15/2015 16:39,10.57121207,272717987,residential
1121515,41.080579,-81.5160875,12/15/2015 16:39,10.69756516,272717986,primary
1121515,41.0806715,-81.5160525,12/15/2015 16:39,10.76021532,272717986,primary
1121515,41.080765,-81.516019,12/15/2015 16:39,10.87067716,272717986,primary
1121515,41.0808595,-81.5159835,12/15/2015 16:39,10.82896301,272717986,primary
1121515,41.0809525,-81.5159505,12/15/2015 16:39,10.86141714,272717986,primary
1121515,41.0810475,-81.515915,12/15/2015 16:39,11.09030725,272717986,primary
1121515,41.0811415,-81.5158725,12/15/2015 16:39,11.11038273,272717986,primary
1121515,41.081237,-81.5158395,12/15/2015 16:39,10.87938144,272717986,primary
1121515,41.0813285,-81.5158,12/15/2015 16:39,10.73032332,272717986,primary
1121515,41.0814205,-81.515761,12/15/2015 16:39,10.78679991,272717986,primary
1121515,41.081513,-81.5157215,12/15/2015 16:39,10.61027962,272717986,primary
